combinedName,function_name,label,summary
test_scorer_metadata_request,test scorer metadata request,0,Scorer related functions
test_metadata_is_routed_correctly_to_scorer,test metadata is routed correctly to scorer,0,Scorer related functions
LogisticRegressionCV._get_scorer,_ get scorer,0,Scorer related functions
TunedThresholdClassifierCV._get_curve_scorer,_ get curve scorer,0,Scorer related functions
test_custom_scorer_pickling,test custom scorer pickling,0,Scorer related functions
test_logistic_cv_mock_scorer,test logistic cv mock scorer,0,Scorer related functions
_BaseRidgeCV._get_scorer,_ get scorer,0,Scorer related functions
test_scorer_memmap_input,test scorer memmap input,0,Scorer related functions
_RidgeGCV._score_without_scorer,_ score without scorer,0,Scorer related functions
test_cross_val_score_failing_scorer,test cross val score failing scorer,0,Scorer related functions
test_deprecated_scorer,test deprecated scorer,0,Scorer related functions
test_multimetric_scorer_calls_method_once,test multimetric scorer calls method once,0,Scorer related functions
test_multimetric_scorer_calls_method_once_classifier_no_decision,test multimetric scorer calls method once classifier no decision,0,Scorer related functions
test_cross_validate_failing_scorer,test cross validate failing scorer,0,Scorer related functions
test_multiclass_roc_proba_scorer_label,test multiclass roc proba scorer label,0,Scorer related functions
test_multimetric_scorer_calls_method_once_regressor_threshold,test multimetric scorer calls method once regressor threshold,0,Scorer related functions
test_make_scorer_reponse_method_default_warning,test make scorer reponse method default warning,0,Scorer related functions
test_curve_scorer,test curve scorer,0,Scorer related functions
test_multimetric_scorer_repr,test multimetric scorer repr,0,Scorer related functions
test_get_scorer_multimetric,test get scorer multimetric,0,Scorer related functions
test_make_scorer_repr,test make scorer repr,0,Scorer related functions
test_get_scorer_multilabel_indicator,test get scorer multilabel indicator,0,Scorer related functions
test_multimetric_scorer_sanity_check,test multimetric scorer sanity check,0,Scorer related functions
test_multimetric_scorer_exception_handling,test multimetric scorer exception handling,0,Scorer related functions
test_scorer_set_score_request_raises,test scorer set score request raises,0,Scorer related functions
test_scorer_no_op_multiclass_select_proba,test scorer no op multiclass select proba,0,Scorer related functions
test_get_scorer_return_copy,test get scorer return copy,0,Scorer related functions
test_scorer_select_proba_error,test scorer select proba error,0,Scorer related functions
test_multiclass_roc_proba_scorer,test multiclass roc proba scorer,0,Scorer related functions
custom_scorer,custom scorer,0,Scorer related functions
test_raw_predict_is_called_with_custom_scorer,test raw predict is called with custom scorer,0,Scorer related functions
test_multiclass_roc_no_proba_scorer_errors,test multiclass roc no proba scorer errors,0,Scorer related functions
BaseHistGradientBoosting._check_early_stopping_scorer,_ check early stopping scorer,0,Scorer related functions
_CurveScorer.from_scorer,from scorer,0,Scorer related functions
make_scorer,make scorer,0,Scorer related functions
test_ridge_cv_custom_multioutput_scorer,test ridge cv custom multioutput scorer,0,Scorer related functions
custom_scorer,custom scorer,0,Scorer related functions
get_scorer,get scorer,0,Scorer related functions
EmpiricalCovariance.fit,fit,1,Fit functions
GraphicalLasso.fit,fit,1,Fit functions
GraphicalLassoCV.fit,fit,1,Fit functions
ShrunkCovariance.fit,fit,1,Fit functions
LedoitWolf.fit,fit,1,Fit functions
Estimator.fit,fit,1,Fit functions
OAS.fit,fit,1,Fit functions
PLSRegression.fit,fit,1,Fit functions
StandardizedLedoitWolf.fit,fit,1,Fit functions
PLSSVD.fit,fit,1,Fit functions
PartialFitChecksName.partial_fit,partial fit,1,Fit functions
TaggedBinaryClassifier.fit,fit,1,Fit functions
EstimatorWithSparseConfig.fit,fit,1,Fit functions
EllipticEnvelope.fit,fit,1,Fit functions
MockEstimatorWithParameter.fit,fit,1,Fit functions
MockIncrementalImprovingEstimator.partial_fit,partial fit,1,Fit functions
MockEstimatorWithSingleFitCallAllowed.fit,fit,1,Fit functions
HDBSCAN.fit,fit,1,Fit functions
LinearSVR.fit,fit,1,Fit functions
BaseLibSVM.fit,fit,1,Fit functions
SelfTrainingClassifier.fit,fit,1,Fit functions
ConsumingClassifier.partial_fit,partial fit,1,Fit functions
ConsumingTransformer.fit,fit,1,Fit functions
BaseLabelPropagation.fit,fit,1,Fit functions
ConsumingNoFitTransformTransformer.fit,fit,1,Fit functions
MetaRegressor.fit,fit,1,Fit functions
WeightedMetaRegressor.fit,fit,1,Fit functions
WeightedMetaClassifier.fit,fit,1,Fit functions
ThirdPartyEstimator.fit,fit,1,Fit functions
MetaTransformer.fit,fit,1,Fit functions
TransformedTargetRegressor.fit,fit,1,Fit functions
_BinMapper.fit,fit,1,Fit functions
OneClassSVM.fit,fit,1,Fit functions
IncrementalPCA.partial_fit,partial fit,1,Fit functions
RadiusNeighborsClassifier.fit,fit,1,Fit functions
KMeans.fit,fit,1,Fit functions
MultiLabelBinarizer.fit,fit,1,Fit functions
HashingVectorizer.fit,fit,1,Fit functions
TSNE._fit,_ fit,1,Fit functions
LabelBinarizer.fit,fit,1,Fit functions
TSNE.fit,fit,1,Fit functions
CountVectorizer.fit,fit,1,Fit functions
TfidfTransformer.fit,fit,1,Fit functions
TfidfVectorizer.fit,fit,1,Fit functions
DBSCAN.fit,fit,1,Fit functions
DictVectorizer.fit,fit,1,Fit functions
PolynomialFeatures.fit,fit,1,Fit functions
BisectingKMeans.fit,fit,1,Fit functions
LabelEncoder.fit,fit,1,Fit functions
Birch._fit,_ fit,1,Fit functions
FunctionTransformer.fit,fit,1,Fit functions
OrdinalEncoder.fit,fit,1,Fit functions
SpectralBiclustering._fit,_ fit,1,Fit functions
SpectralCoclustering._fit,_ fit,1,Fit functions
OneHotEncoder.fit,fit,1,Fit functions
BaseSpectral.fit,fit,1,Fit functions
_BaseEncoder._fit,_ fit,1,Fit functions
FeatureAgglomeration.fit,fit,1,Fit functions
AgglomerativeClustering._fit,_ fit,1,Fit functions
Birch.partial_fit,partial fit,1,Fit functions
NeighborsBase._fit,_ fit,1,Fit functions
MiniBatchKMeans.fit,fit,1,Fit functions
SplineTransformer.fit,fit,1,Fit functions
_GeneralizedLinearRegressor.fit,fit,1,Fit functions
UntaggedBinaryClassifier.fit,fit,1,Fit functions
KNeighborsTransformer.fit,fit,1,Fit functions
NoPrecomputedMaskTransform.fit,fit,1,Fit functions
NoTransformIndicatorImputer.fit,fit,1,Fit functions
KNNImputer.fit,fit,1,Fit functions
RadiusNeighborsTransformer.fit,fit,1,Fit functions
IterativeImputer.fit,fit,1,Fit functions
KernelDensity.fit,fit,1,Fit functions
LocalOutlierFactor.fit,fit,1,Fit functions
NeighborhoodComponentsAnalysis.fit,fit,1,Fit functions
MiniBatchKMeans.partial_fit,partial fit,1,Fit functions
MissingIndicator.fit,fit,1,Fit functions
SimpleImputer.fit,fit,1,Fit functions
Isomap.fit,fit,1,Fit functions
LocallyLinearEmbedding.fit,fit,1,Fit functions
MDS.fit,fit,1,Fit functions
GaussianProcessClassifier.fit,fit,1,Fit functions
SpectralClustering.fit,fit,1,Fit functions
_BinaryGaussianProcessClassifierLaplace.fit,fit,1,Fit functions
SpectralEmbedding.fit,fit,1,Fit functions
TargetEncoder.fit,fit,1,Fit functions
OPTICS.fit,fit,1,Fit functions
MeanShift.fit,fit,1,Fit functions
MissingIndicator._fit,_ fit,1,Fit functions
LargeSparseNotSupportedClassifier.fit,fit,1,Fit functions
ElasticNet.fit,fit,1,Fit functions
NotInvariantSampleOrder.fit,fit,1,Fit functions
BaseSGDClassifier.partial_fit,partial fit,1,Fit functions
KernelPCA.fit,fit,1,Fit functions
Estimator.fit,fit,1,Fit functions
BaseSGDClassifier._fit,_ fit,1,Fit functions
IncrementalPCA.fit,fit,1,Fit functions
BaseSGDClassifier._partial_fit,_ partial fit,1,Fit functions
Estimator.fit,fit,1,Fit functions
FastICA.fit,fit,1,Fit functions
FixedThresholdClassifier._fit,_ fit,1,Fit functions
BaseSGDClassifier.fit,fit,1,Fit functions
TunedThresholdClassifierCV._fit,_ fit,1,Fit functions
MiniBatchDictionaryLearning.partial_fit,partial fit,1,Fit functions
MiniBatchDictionaryLearning.fit,fit,1,Fit functions
DictionaryLearning.fit,fit,1,Fit functions
RidgeClassifierCV.fit,fit,1,Fit functions
RidgeCV.fit,fit,1,Fit functions
_BaseRidgeCV.fit,fit,1,Fit functions
_RidgeGCV.fit,fit,1,Fit functions
RidgeClassifier.fit,fit,1,Fit functions
Ridge.fit,fit,1,Fit functions
FactorAnalysis.fit,fit,1,Fit functions
_BaseRidge.fit,fit,1,Fit functions
BaseThresholdClassifier.fit,fit,1,Fit functions
LatentDirichletAllocation.fit,fit,1,Fit functions
DecisionTreeRegressor.fit,fit,1,Fit functions
TheilSenRegressor.fit,fit,1,Fit functions
DecisionTreeClassifier.fit,fit,1,Fit functions
BaseDecisionTree._fit,_ fit,1,Fit functions
SGDOneClassSVM.fit,fit,1,Fit functions
TruncatedSVD.fit,fit,1,Fit functions
SparsePCA._fit,_ fit,1,Fit functions
SGDOneClassSVM._fit,_ fit,1,Fit functions
_BaseSparsePCA.fit,fit,1,Fit functions
LatentDirichletAllocation.partial_fit,partial fit,1,Fit functions
SGDOneClassSVM.partial_fit,partial fit,1,Fit functions
PCA._fit_full,_ fit full,1,Fit functions
PCA._fit,_ fit,1,Fit functions
PCA.fit,fit,1,Fit functions
MiniBatchNMF.partial_fit,partial fit,1,Fit functions
BaseSGDRegressor.fit,fit,1,Fit functions
BaseSGDRegressor._fit,_ fit,1,Fit functions
BaseSGDRegressor.partial_fit,partial fit,1,Fit functions
BaseSGDRegressor._partial_fit,_ partial fit,1,Fit functions
BaseMixture.fit,fit,1,Fit functions
SGDOneClassSVM._partial_fit,_ partial fit,1,Fit functions
OneClassSampleErrorClassifier.fit,fit,1,Fit functions
BaseSearchCV.fit,fit,1,Fit functions
BaseBagging.fit,fit,1,Fit functions
_BaseVoting.fit,fit,1,Fit functions
VotingClassifier.fit,fit,1,Fit functions
VotingRegressor.fit,fit,1,Fit functions
BaseWeightBoosting.fit,fit,1,Fit functions
HuberRegressor.fit,fit,1,Fit functions
MultiTaskElasticNet.fit,fit,1,Fit functions
LinearModelCV.fit,fit,1,Fit functions
AgglomerativeClustering.fit,fit,1,Fit functions
SimplePipeline.fit,fit,1,Fit functions
MinimalTransformer.fit,fit,1,Fit functions
BayesianRidge.fit,fit,1,Fit functions
MyPassiveAggressive.fit,fit,1,Fit functions
MyPerceptron.fit,fit,1,Fit functions
SetsWrongAttribute.fit,fit,1,Fit functions
ChangesWrongAttribute.fit,fit,1,Fit functions
ChangesUnderscoreAttribute.fit,fit,1,Fit functions
NoSparseClassifier.fit,fit,1,Fit functions
CorrectNotFittedErrorClassifier.fit,fit,1,Fit functions
NoSampleWeightPandasSeriesType.fit,fit,1,Fit functions
BadBalancedWeightsClassifier.fit,fit,1,Fit functions
LinearRegression.fit,fit,1,Fit functions
BaseSuccessiveHalving.fit,fit,1,Fit functions
MinimalRegressor.fit,fit,1,Fit functions
StackingRegressor.fit,fit,1,Fit functions
BaseBagging._fit,_ fit,1,Fit functions
RANSACRegressor.fit,fit,1,Fit functions
QuantileRegressor.fit,fit,1,Fit functions
PassiveAggressiveRegressor.fit,fit,1,Fit functions
PassiveAggressiveRegressor.partial_fit,partial fit,1,Fit functions
PassiveAggressiveClassifier.fit,fit,1,Fit functions
PassiveAggressiveClassifier.partial_fit,partial fit,1,Fit functions
BaseForest.fit,fit,1,Fit functions
OrthogonalMatchingPursuit.fit,fit,1,Fit functions
MinimalClassifier.fit,fit,1,Fit functions
RandomTreesEmbedding.fit,fit,1,Fit functions
LogisticRegression.fit,fit,1,Fit functions
IsolationForest.fit,fit,1,Fit functions
CheckingClassifier.fit,fit,1,Fit functions
LassoLarsIC.fit,fit,1,Fit functions
LarsCV.fit,fit,1,Fit functions
_BaseStacking.fit,fit,1,Fit functions
Lars.fit,fit,1,Fit functions
StackingClassifier.fit,fit,1,Fit functions
Lars._fit,_ fit,1,Fit functions
LogisticRegressionCV.fit,fit,1,Fit functions
AffinityPropagation.fit,fit,1,Fit functions
ColumnTransformer.fit,fit,1,Fit functions
OneVsRestClassifier.fit,fit,1,Fit functions
DummyClassifier.fit,fit,1,Fit functions
MaxAbsScaler.fit,fit,1,Fit functions
QuadraticDiscriminantAnalysis.fit,fit,1,Fit functions
MaxAbsScaler.partial_fit,partial fit,1,Fit functions
LinearDiscriminantAnalysis.fit,fit,1,Fit functions
_fit_one,_ fit one,1,Fit functions
SequentialFeatureSelector.fit,fit,1,Fit functions
KernelRidge.fit,fit,1,Fit functions
RobustScaler.fit,fit,1,Fit functions
RFECV.fit,fit,1,Fit functions
FeatureUnion.fit,fit,1,Fit functions
BernoulliRBM.fit,fit,1,Fit functions
GaussianNB.fit,fit,1,Fit functions
