function_code,combinedName,category,question,answer,edit_functions
"def test_l1_ratio():
    X, y = datasets.make_classification(n_samples=1000, n_features=100, n_informative=20, random_state=1234)
    est_en = SGDClassifier(alpha=0.001, penalty='elasticnet', tol=None, max_iter=6, l1_ratio=0.9999999999, random_state=42).fit(X, y)
    est_l1 = SGDClassifier(alpha=0.001, penalty='l1', max_iter=6, random_state=42, tol=None).fit(X, y)
    assert_array_almost_equal(est_en.coef_, est_l1.coef_)
    est_en = SGDClassifier(alpha=0.001, penalty='elasticnet', tol=None, max_iter=6, l1_ratio=1e-10, random_state=42).fit(X, y)
    est_l2 = SGDClassifier(alpha=0.001, penalty='l2', max_iter=6, random_state=42, tol=None).fit(X, y)
    assert_array_almost_equal(est_en.coef_, est_l2.coef_)",test_l1_ratio,general,How does the test_l1_ratio function handle the trade-off between L1 and L2 regularization?,The test_l1_ratio function handles the trade-off between L1 and L2 regularization by comparing the coefficients of a classifier trained with elastic net regularization (which combines L1 and L2 regularization) with the coefficients of a classifier trained with L1 regularization and L2 regularization separately..,test_l1_ratio
"def _fit_transform(self, X):
    self.nbrs_ = NearestNeighbors(n_neighbors=self.n_neighbors, algorithm=self.neighbors_algorithm, n_jobs=self.n_jobs)
    random_state = check_random_state(self.random_state)
    X = validate_data(self, X, dtype=float)
    self.nbrs_.fit(X)
    self.embedding_, self.reconstruction_error_ = _locally_linear_embedding(X=self.nbrs_, n_neighbors=self.n_neighbors, n_components=self.n_components, eigen_solver=self.eigen_solver, tol=self.tol, max_iter=self.max_iter, method=self.method, hessian_tol=self.hessian_tol, modified_tol=self.modified_tol, random_state=random_state, reg=self.reg, n_jobs=self.n_jobs)
    self._n_features_out = self.embedding_.shape[1]",LocallyLinearEmbedding._fit_transform,general,What is the primary purpose of the _fit_transform function in this Python code?,"The primary purpose of the _fit_transform function is to fit a nearest neighbors model to the input data X and then transform it into a lower-dimensional representation using locally linear embedding, while also calculating the reconstruction error of the transformed data..",LocallyLinearEmbedding._fit_transform
"@pytest.mark.parametrize('csc_container', CSC_CONTAINERS)
def test_sparse_lasso_not_as_toy_dataset(csc_container):
    n_samples = 100
    max_iter = 1000
    n_informative = 10
    X, y = make_sparse_data(csc_container, n_samples=n_samples, n_informative=n_informative)
    X_train, X_test = (X[n_samples // 2:], X[:n_samples // 2])
    y_train, y_test = (y[n_samples // 2:], y[:n_samples // 2])
    s_clf = Lasso(alpha=0.1, fit_intercept=False, max_iter=max_iter, tol=1e-07)
    s_clf.fit(X_train, y_train)
    assert_almost_equal(s_clf.dual_gap_, 0, 4)
    assert s_clf.score(X_test, y_test) > 0.85
    d_clf = Lasso(alpha=0.1, fit_intercept=False, max_iter=max_iter, tol=1e-07)
    d_clf.fit(X_train.toarray(), y_train)
    assert_almost_equal(d_clf.dual_gap_, 0, 4)
    assert d_clf.score(X_test, y_test) > 0.85
    assert np.sum(s_clf.coef_ != 0.0) == n_informative",test_sparse_lasso_not_as_toy_dataset,general,What is the purpose of the test_sparse_lasso_not_as_toy_dataset function?,"This function tests the sparse Lasso regression model on a real-world dataset, comparing the results with a dense version of the model, and verifying that the model converges and achieves a high accuracy..",test_sparse_lasso_not_as_toy_dataset
"@pytest.mark.parametrize('input_data', [X] + X_as_any_csr, ids=data_containers_ids)
@pytest.mark.parametrize('Estimator', [KMeans, MiniBatchKMeans])
def test_scaled_weights(Estimator, input_data, global_random_seed):
    sample_weight = np.random.RandomState(global_random_seed).uniform(size=n_samples)
    km = Estimator(n_clusters=n_clusters, random_state=global_random_seed, n_init=1)
    km_orig = clone(km).fit(input_data, sample_weight=sample_weight)
    km_scaled = clone(km).fit(input_data, sample_weight=0.5 * sample_weight)
    assert_array_equal(km_orig.labels_, km_scaled.labels_)
    assert_allclose(km_orig.cluster_centers_, km_scaled.cluster_centers_)",test_scaled_weights,general,What is the purpose of this function?,This function tests the scaled weights in KMeans and MiniBatchKMeans clustering algorithms.,test_scaled_weights
"def test_multi_target_regression_one_target():
    X, y = datasets.make_regression(n_targets=1, random_state=0)
    rgr = MultiOutputRegressor(GradientBoostingRegressor(random_state=0))
    msg = 'at least two dimensions'
    with pytest.raises(ValueError, match=msg):
        rgr.fit(X, y)",test_multi_target_regression_one_target,general,What is the purpose of the test_multi_target_regression_one_target function?,"This function tests the MultiOutputRegressor class from scikit-learn, specifically checking that it raises a ValueError when trying to fit a model with only one target variable, which requires at least two dimensions..  ####.",test_multi_target_regression_one_target
"@_fit_context(prefer_skip_nested_validation=False)
def fit(self, X, y=None, **fit_params):
    """"""Fit the SelectFromModel meta-transformer.

        Parameters
        ----------
        X : array-like of shape (n_samples, n_features)
            The training input samples.

        y : array-like of shape (n_samples,), default=None
            The target values (integers that correspond to classes in
            classification, real numbers in regression).

        **fit_params : dict
            - If `enable_metadata_routing=False` (default): Parameters directly passed
              to the `fit` method of the sub-estimator. They are ignored if
              `prefit=True`.

            - If `enable_metadata_routing=True`: Parameters safely routed to the `fit`
              method of the sub-estimator. They are ignored if `prefit=True`.

            .. versionchanged:: 1.4
                See :ref:`Metadata Routing User Guide <metadata_routing>` for
                more details.

        Returns
        -------
        self : object
            Fitted estimator.
        """"""
    self._check_max_features(X)
    if self.prefit:
        try:
            check_is_fitted(self.estimator)
        except NotFittedError as exc:
            raise NotFittedError('When `prefit=True`, `estimator` is expected to be a fitted estimator.') from exc
        self.estimator_ = deepcopy(self.estimator)
    elif _routing_enabled():
        routed_params = process_routing(self, 'fit', **fit_params)
        self.estimator_ = clone(self.estimator)
        self.estimator_.fit(X, y, **routed_params.estimator.fit)
    else:
        self.estimator_ = clone(self.estimator)
        self.estimator_.fit(X, y, **fit_params)
    if hasattr(self.estimator_, 'feature_names_in_'):
        self.feature_names_in_ = self.estimator_.feature_names_in_
    else:
        _check_feature_names(self, X, reset=True)
    return self",SelectFromModel.fit,general,Not applicable?,Not enough information.,SelectFromModel.fit
"def _get_median(data, n_zeros):
    """"""Compute the median of data with n_zeros additional zeros.

    This function is used to support sparse matrices; it modifies data
    in-place.
    """"""
    n_elems = len(data) + n_zeros
    if not n_elems:
        return np.nan
    n_negative = np.count_nonzero(data < 0)
    middle, is_odd = divmod(n_elems, 2)
    data.sort()
    if is_odd:
        return _get_elem_at_rank(middle, data, n_negative, n_zeros)
    return (_get_elem_at_rank(middle - 1, data, n_negative, n_zeros) + _get_elem_at_rank(middle, data, n_negative, n_zeros)) / 2.0",_get_median,general,What does the function do if the input data is empty?,The function returns NaN (Not a Number) if the input data is empty..,_get_median
"def test_ovr_decision_function():
    X_train = np.array([[1, 1], [-1, 1], [-1, -1], [1, -1]])
    y_train = [0, 1, 2, 3]
    base_points = np.array([[5, 5], [10, 10]])
    X_test = np.vstack((base_points * [1, 1], base_points * [-1, 1], base_points * [-1, -1], base_points * [1, -1]))
    y_test = [0] * 2 + [1] * 2 + [2] * 2 + [3] * 2
    clf = svm.SVC(kernel='linear', decision_function_shape='ovr')
    clf.fit(X_train, y_train)
    y_pred = clf.predict(X_test)
    assert_array_equal(y_pred, y_test)
    deci_val = clf.decision_function(X_test)
    assert_array_equal(np.argmax(deci_val, axis=1), y_pred)
    pred_class_deci_val = deci_val[range(8), y_pred].reshape((4, 2))
    assert np.min(pred_class_deci_val) > 0.0
    assert np.all(pred_class_deci_val[:, 0] < pred_class_deci_val[:, 1])",test_ovr_decision_function,general,What is the purpose of the test_ovr_decision_function() function?,"This function tests the decision function of an SVM classifier with the 'ovr' (one-vs-rest) decision_function_shape, and verifies that the predicted classes match the expected output..",test_ovr_decision_function
"@config_context(enable_metadata_routing=True)
def test_process_routing_invalid_object():

    class InvalidObject:
        pass
    with pytest.raises(AttributeError, match='either implement the routing method'):
        process_routing(InvalidObject(), 'fit', groups=my_groups)",test_process_routing_invalid_object,general,What is the type of object that will cause the test_process_routing_invalid_object function to fail?,An instance of the InvalidObject class will.,test_process_routing_invalid_object
"@config_context(enable_metadata_routing=True)
def test_transform_tuple_input():
    """"""Test that if metadata is a tuple of arrays, both arrays are transformed.""""""

    class Estimator(ClassifierMixin, BaseEstimator):

        def fit(self, X, y, X_val=None, y_val=None):
            assert isinstance(X_val, tuple)
            assert isinstance(y_val, tuple)
            assert_array_equal(X_val[0], np.array([[2, 3]]))
            assert_array_equal(y_val[0], np.array([0, 1]))
            assert_array_equal(X_val[1], np.array([[11, 12]]))
            assert_array_equal(y_val[1], np.array([1, 2]))
            self.fitted_ = True
            return self

    class Transformer(TransformerMixin, BaseEstimator):

        def fit(self, X, y):
            self.fitted_ = True
            return self

        def transform(self, X):
            return X + 1
    X = np.array([[1, 2]])
    y = np.array([0, 1])
    X_val0 = np.array([[1, 2]])
    y_val0 = np.array([0, 1])
    X_val1 = np.array([[10, 11]])
    y_val1 = np.array([1, 2])
    pipe = Pipeline([('transformer', Transformer()), ('estimator', Estimator().set_fit_request(X_val=True, y_val=True))], transform_input=['X_val'])
    pipe.fit(X, y, X_val=(X_val0, X_val1), y_val=(y_val0, y_val1))",test_transform_tuple_input,general,What is the purpose of the test_transform_tuple_input function?,"This function tests that if metadata is a tuple of arrays, both arrays are transformed by a pipeline of a transformer and an estimator in a scikit-learn pipeline, using the set_fit_request method to set the fit request for the estimator to use a tuple of arrays for both X_val and y_val..",test_transform_tuple_input
"def _estimate_gaussian_covariances_spherical(resp, X, nk, means, reg_covar, xp=None):
    """"""Estimate the spherical variance values.

    Parameters
    ----------
    responsibilities : array-like of shape (n_samples, n_components)

    X : array-like of shape (n_samples, n_features)

    nk : array-like of shape (n_components,)

    means : array-like of shape (n_components, n_features)

    reg_covar : float

    Returns
    -------
    variances : array, shape (n_components,)
        The variance values of each components.
    """"""
    xp, _ = get_namespace(X)
    return xp.mean(_estimate_gaussian_covariances_diag(resp, X, nk, means, reg_covar, xp=xp), axis=1)",_estimate_gaussian_covariances_spherical,general,"= ""What is the function _estimate_gaussian_covariances_spherical used for?""?",Not enough information.,_estimate_gaussian_covariances_spherical
"@pytest.mark.parametrize('X, err_msg', [(np.array([[1, np.nan]]), 'Input contains NaN.'), (np.array([[1, np.nan]]), 'Input contains NaN.'), (np.array([[1, np.inf]]), 'Input contains infinity or a value too large for.*int'), (np.array([[1, np.nan]], dtype=object), 'cannot convert float NaN to integer')])
@pytest.mark.parametrize('ensure_all_finite', [True, False])
def test_check_array_ensure_all_finite_object_unsafe_casting(X, err_msg, ensure_all_finite):
    with pytest.raises(ValueError, match=err_msg):
        check_array(X, dtype=int, ensure_all_finite=ensure_all_finite)",test_check_array_ensure_all_finite_object_unsafe_casting,general,What is the purpose of the `check_array` function in this code?,"The purpose of the `check_array` function is to check if the input array contains NaN or infinity values, and if `ensure_all_finite` is set to `True`, it raises a `ValueError` with an error message if the array is not finite, or if `ensure_all_finite` is set to `False`, it does not check for finite values and allows the array to be used..",test_check_array_ensure_all_finite_object_unsafe_casting
