combinedName,function_name,label,summary
BarChart._add_x_axis_labels,BarChart. add x axis labels,0,Barchart related functions/methods.
BarChart.change_bar_values,BarChart.change bar values,0,Barchart related functions/methods.
BarChart._add_bars,BarChart. add bars,0,Barchart related functions/methods.
BarChart._create_bar,BarChart. create bar,0,Barchart related functions/methods.
BarChart.__init__,BarChart.  init  ,0,Barchart related functions/methods.
BarChart._update_colors,BarChart. update colors,0,Barchart related functions/methods.
MarkupText._parse_color,MarkupText. parse color,1,Random functions/methods.
MarkupText._extract_color_tags,MarkupText. extract color tags,1,Random functions/methods.
SingleStringMathTex._get_modified_expression,SingleStringMathTex. get modified expression,1,Random functions/methods.
SingleStringMathTex._modify_special_strings,SingleStringMathTex. modify special strings,1,Random functions/methods.
MathTex._break_up_by_substrings,MathTex. break up by substrings,1,Random functions/methods.
MathTex.index_of_part,MathTex.index of part,1,Random functions/methods.
Polyhedron.get_edges,Polyhedron.get edges,1,Random functions/methods.
Polyhedron.create_faces,Polyhedron.create faces,1,Random functions/methods.
Polyhedron.update_faces,Polyhedron.update faces,1,Random functions/methods.
show_splash,show splash,1,Random functions/methods.
Polyhedron.extract_face_coords,Polyhedron.extract face coords,1,Random functions/methods.
Surface._get_u_values_and_v_values,Surface. get u values and v values,1,Random functions/methods.
Surface._setup_in_uv_space,Surface. setup in uv space,1,Random functions/methods.
Cone._rotate_to_direction,Cone. rotate to direction,1,Random functions/methods.
Cylinder._rotate_to_direction,Cylinder. rotate to direction,1,Random functions/methods.
Line3D.pointify,Line3D.pointify,1,Random functions/methods.
Line3D.parallel_to,Line3D.parallel to,1,Random functions/methods.
Line3D.perpendicular_to,Line3D.perpendicular to,1,Random functions/methods.
get_3d_vmob_unit_normal,get 3d vmob unit normal,1,Random functions/methods.
MarkupText._extract_gradient_tags,MarkupText. extract gradient tags,1,Random functions/methods.
ImageMobject.fade,ImageMobject.fade,1,Random functions/methods.
MarkupText._count_real_chars,MarkupText. count real chars,1,Random functions/methods.
MarkupText._text2hash,MarkupText. text2hash,1,Random functions/methods.
BraceLabel.shift_brace,BraceLabel.shift brace,1,Random functions/methods.
BraceLabel.change_label,BraceLabel.change label,1,Random functions/methods.
BraceLabel.change_brace_label,BraceLabel.change brace label,1,Random functions/methods.
SVGMobject.get_file_path,SVGMobject.get file path,1,Random functions/methods.
SVGMobject.modify_xml_tree,SVGMobject.modify xml tree,1,Random functions/methods.
SVGMobject.generate_config_style_dict,SVGMobject.generate config style dict,1,Random functions/methods.
SVGMobject.get_mobjects_from,SVGMobject.get mobjects from,1,Random functions/methods.
SVGMobject.handle_transform,SVGMobject.handle transform,1,Random functions/methods.
SVGMobject.move_into_position,SVGMobject.move into position,1,Random functions/methods.
VMobjectFromSVGPath.handle_commands,VMobjectFromSVGPath.handle commands,1,Random functions/methods.
DecimalNumber._get_num_string,DecimalNumber. get num string,1,Random functions/methods.
MarkupText._text2svg,MarkupText. text2svg,1,Random functions/methods.
DecimalNumber._string_to_mob,DecimalNumber. string to mob,1,Random functions/methods.
DecimalNumber.increment_value,DecimalNumber.increment value,1,Random functions/methods.
Paragraph._gen_chars,Paragraph. gen chars,1,Random functions/methods.
Paragraph._change_alignment_for_a_line,Paragraph. change alignment for a line,1,Random functions/methods.
Text._gen_chars,Text. gen chars,1,Random functions/methods.
Text._find_indexes,Text. find indexes,1,Random functions/methods.
Text._text2hash,Text. text2hash,1,Random functions/methods.
Text._merge_settings,Text. merge settings,1,Random functions/methods.
Text._get_settings_from_t2xs,Text. get settings from t2xs,1,Random functions/methods.
Text._get_settings_from_gradient,Text. get settings from gradient,1,Random functions/methods.
Text._text2settings,Text. text2settings,1,Random functions/methods.
Text._text2svg,Text. text2svg,1,Random functions/methods.
DecimalNumber._get_formatter,DecimalNumber. get formatter,1,Random functions/methods.
ImageMobject.interpolate_color,ImageMobject.interpolate color,1,Random functions/methods.
PMobject.ingest_submobjects,PMobject.ingest submobjects,1,Random functions/methods.
PMobject.match_colors,PMobject.match colors,1,Random functions/methods.
OpenGLRenderer.play,OpenGLRenderer.play,1,Random functions/methods.
OpenGLRenderer.render,OpenGLRenderer.render,1,Random functions/methods.
OpenGLRenderer.update_frame,OpenGLRenderer.update frame,1,Random functions/methods.
OpenGLRenderer.scene_finished,OpenGLRenderer.scene finished,1,Random functions/methods.
OpenGLRenderer.should_save_last_frame,OpenGLRenderer.should save last frame,1,Random functions/methods.
OpenGLRenderer.get_image,OpenGLRenderer.get image,1,Random functions/methods.
OpenGLRenderer.get_frame_buffer_object,OpenGLRenderer.get frame buffer object,1,Random functions/methods.
OpenGLRenderer.get_raw_frame_buffer_object_data,OpenGLRenderer.get raw frame buffer object data,1,Random functions/methods.
OpenGLRenderer.get_frame,OpenGLRenderer.get frame,1,Random functions/methods.
OpenGLRenderer.pixel_coords_to_space_coords,OpenGLRenderer.pixel coords to space coords,1,Random functions/methods.
Window.find_initial_position,Window.find initial position,1,Random functions/methods.
get_shader_code_from_file,get shader code from file,1,Random functions/methods.
filter_attributes,filter attributes,1,Random functions/methods.
Object3D.update,Object3D.update,1,Random functions/methods.
Object3D.clear_updaters,Object3D.clear updaters,1,Random functions/methods.
Object3D.match_updaters,Object3D.match updaters,1,Random functions/methods.
Object3D.resume_updating,Object3D.resume updating,1,Random functions/methods.
Mesh.render,Mesh.render,1,Random functions/methods.
FullScreenQuad.render,FullScreenQuad.render,1,Random functions/methods.
find_file,find file,1,Random functions/methods.
ShaderWrapper.refresh_id,ShaderWrapper.refresh id,1,Random functions/methods.
OpenGLRenderer.refresh_perspective_uniforms,OpenGLRenderer.refresh perspective uniforms,1,Random functions/methods.
OpenGLRenderer.get_pixel_shape,OpenGLRenderer.get pixel shape,1,Random functions/methods.
OpenGLCamera.interpolate,OpenGLCamera.interpolate,1,Random functions/methods.
OpenGLCamera.increment_gamma,OpenGLCamera.increment gamma,1,Random functions/methods.
PMobject.fade_to,PMobject.fade to,1,Random functions/methods.
Brace.get_direction,Brace.get direction,1,Random functions/methods.
PMobject.interpolate_color,PMobject.interpolate color,1,Random functions/methods.
PMobject.pointwise_become_partial,PMobject.pointwise become partial,1,Random functions/methods.
VGroup.__setitem__,VGroup.  setitem  ,1,Random functions/methods.
VDict.__setitem__,VDict.  setitem  ,1,Random functions/methods.
CurvesAsSubmobjects.point_from_proportion,CurvesAsSubmobjects.point from proportion,1,Random functions/methods.
CurvesAsSubmobjects._throw_error_if_no_submobjects,CurvesAsSubmobjects. throw error if no submobjects,1,Random functions/methods.
list_plugins,list plugins,1,Random functions/methods.
CairoRenderer.play,CairoRenderer.play,1,Random functions/methods.
ImageMobjectFromCamera.interpolate_color,ImageMobjectFromCamera.interpolate color,1,Random functions/methods.
CairoRenderer.update_frame,CairoRenderer.update frame,1,Random functions/methods.
CairoRenderer.freeze_current_frame,CairoRenderer.freeze current frame,1,Random functions/methods.
CairoRenderer.show_frame,CairoRenderer.show frame,1,Random functions/methods.
CairoRenderer.save_static_frame_data,CairoRenderer.save static frame data,1,Random functions/methods.
CairoRenderer.update_skipping_status,CairoRenderer.update skipping status,1,Random functions/methods.
CairoRenderer.scene_finished,CairoRenderer.scene finished,1,Random functions/methods.
OpenGLCamera.to_default_state,OpenGLCamera.to default state,1,Random functions/methods.
OpenGLCamera.refresh_rotation_matrix,OpenGLCamera.refresh rotation matrix,1,Random functions/methods.
OpenGLCamera.rotate,OpenGLCamera.rotate,1,Random functions/methods.
OpenGLCamera.increment_theta,OpenGLCamera.increment theta,1,Random functions/methods.
OpenGLCamera.increment_phi,OpenGLCamera.increment phi,1,Random functions/methods.
CairoRenderer.render,CairoRenderer.render,1,Random functions/methods.
Brace.get_tip,Brace.get tip,1,Random functions/methods.
OpenGLVMobject.refresh_shader_data,OpenGLVMobject.refresh shader data,1,Random functions/methods.
Brace.put_at_tip,Brace.put at tip,1,Random functions/methods.
NumberLine.number_to_point,NumberLine.number to point,1,Random functions/methods.
NumberLine.point_to_number,NumberLine.point to number,1,Random functions/methods.
NumberLine._decimal_places_from_step,NumberLine. decimal places from step,1,Random functions/methods.
SampleSpace.complete_p_list,SampleSpace.complete p list,1,Random functions/methods.
SampleSpace.get_division_along_dimension,SampleSpace.get division along dimension,1,Random functions/methods.
